"""Component Code""","""Problem Description""",SQ,"""In Process- NDF""",FPY,CAL,"""SIR 1 MIS""",PPM,"""Component Codes""","""Problem Descriptions""","""Component Problem""",sum,col
BOLAS DE SUSPENSIÓN,Suelto,0,0,0,0,1,9,23,148,23148,-1.89E+64,3.88E-10
BANDA,Suelto,0,1,1,0,8,91,20,148,20148,-1.89E+64,3.88E-10
AGITADOR,Suelto,0,30,22,1,4,519,4,148,4148,-1.89E+64,3.88E-10
Top panel,Sucio,0,1,0,0,0,9,89,147,89147,-6.94E+63,1.43E-10
Lid metalico,Strike hook mal ensamblado,0,1,0,0,0,9,63,146,63146,-2.55E+63,5.26E-11
Lid metalico,Strike hook ausente,0,0,1,0,0,9,63,145,63145,-9.39E+62,1.93E-11
Top panel,Soft clutch baja rápido,0,14,0,0,0,128,89,144,89144,-3.45E+62,7.11E-12
TRANSMISIÓN,Snap fuera de posición,0,3,8,0,0,100,85,143,85143,-1.27E+62,2.62E-12
TRANSMISIÓN,Snap doble,0,3,0,0,0,27,85,142,85142,-4.68E+61,9.63E-13
ACU,Sin corriente,1,0,0,0,0,9,1,141,1141,-1.72E+61,3.54E-13
ARNES,Sin continuidad,0,0,0,0,1,9,5,140,5140,-6.33E+60,1.30E-13
Fascia,Serigrafía movida,3,3,8,0,0,128,53,139,53139,-2.33E+60,4.79E-14
Fascia,Serigrafía incompleta,40,155,7,0,0,1840,53,138,53138,-8.56E+59,1.76E-14
Inner tray,Se trozan al doblar,313,0,0,0,0,2851,56,137,56137,-3.15E+59,6.49E-15
LID LOCK,Se apaga unidad,1,0,0,0,0,9,61,136,61136,-1.16E+59,2.39E-15
TRANSMISIÓN,Ruido,0,0,0,1,5,55,85,135,85135,-4.26E+58,8.78E-16
MOTOR,Ruido,2,0,0,1,0,27,69,135,69135,-4.26E+58,8.78E-16
LID,Ruido,0,0,0,1,7,73,60,135,60135,-4.26E+58,8.78E-16
Speed wheel,Rebaba,5,0,0,0,0,46,82,134,82134,-1.57E+58,3.23E-16
Planetario,Rebaba,0,3,0,0,0,27,78,134,78134,-1.57E+58,3.23E-16
Impeller,Rebaba,3,0,3,0,0,55,55,134,55134,-1.57E+58,3.23E-16
Fascia,Rebaba,3,0,0,0,0,27,53,134,53134,-1.57E+58,3.23E-16
Cover hinge LH y RH,Rebaba,2,0,0,0,0,18,40,134,40134,-1.57E+58,3.23E-16
Tube ring,Rayado,0,4,0,0,0,36,90,133,90133,-5.77E+57,1.19E-16
CAP HINGE,Rayado,535,0,0,0,0,4873,30,133,30133,-5.77E+57,1.19E-16
VÁLVULA,Quemada,0,0,0,0,4,27,92,132,92132,-2.12E+57,4.37E-17
BOMBA,Quemada,0,0,0,0,1,9,24,132,24132,-2.12E+57,4.37E-17
VÁLVULA,Quebrado,0,0,0,0,1,9,92,131,92131,-7.81E+56,1.61E-17
VARILLAS DE SUSPENSIÓN,Quebrado,1,0,0,0,13,128,91,131,91131,-7.81E+56,1.61E-17
Speed wheel,Quebrado,3,1,0,1,0,46,82,131,82131,-7.81E+56,1.61E-17
Mega,Quebrado,0,0,9,0,0,82,71,131,71131,-7.81E+56,1.61E-17
MANGUERA DE DRENADO Tina a Bomba,Quebrado,0,0,0,1,1,18,67,131,67131,-7.81E+56,1.61E-17
MANGUERA DE DRENADO,Quebrado,0,0,0,0,1,9,66,131,66131,-7.81E+56,1.61E-17
LID LOCK,Quebrado,0,0,1,0,0,9,61,131,61131,-7.81E+56,1.61E-17
Inner tray,Quebrado,10115,0,0,0,0,92135,56,131,56131,-7.81E+56,1.61E-17
DISPENSADOR,Quebrado,0,0,5,0,2,64,42,131,42131,-7.81E+56,1.61E-17
COVER PULLEY,Quebrado,0,1,0,0,0,9,32,131,32131,-7.81E+56,1.61E-17
CAP HINGE,Quebrado,2,0,0,0,0,18,30,131,30131,-7.81E+56,1.61E-17
CAM SPLUTCH,Quebrado,0,1,0,0,1,18,29,131,29131,-7.81E+56,1.61E-17
BOMBA,Quebrado,0,13,8,0,3,219,24,131,24131,-7.81E+56,1.61E-17
BOLAS DE SUSPENSIÓN,Quebrado,0,2,3,0,19,301,23,131,23131,-7.81E+56,1.61E-17
Auger agitador,Quebrado,0,3,20,0,0,210,18,131,18131,-7.81E+56,1.61E-17
ARNES ACTUADOR,Quebrado,1,3,5,0,3,109,6,131,6131,-7.81E+56,1.61E-17
AGITADOR,Quebrado,0,1,1,0,2,36,4,131,4131,-7.81E+56,1.61E-17
Fascia,Poste quebrado,2,0,0,0,0,18,53,130,53130,-2.87E+56,5.92E-18
Perilla,Poste deforme,2,0,3,0,0,46,77,129,77129,-1.06E+56,2.18E-18
Fascia,Poste deforme,0,3,0,0,0,27,53,129,53129,-1.06E+56,2.18E-18
COVER PULLEY,Poste deforme,0,1,0,0,0,9,32,129,32129,-1.06E+56,2.18E-18
TINA,Pivotes quebrados,0,3,2,0,0,46,84,128,84128,-3.89E+55,8.01E-19
ACTUATOR - SHIFT,Pin elevado,1,0,0,0,0,9,0,127,127,-1.43E+55,2.94E-19
Arnes upper,Pin dañado,0,3,0,0,0,27,17,126,17126,-5.26E+54,1.08E-19
Tube ring,Pestaña quebrada,0,2,0,0,0,18,90,125,90125,-1.94E+54,3.99E-20
Top panel,Pestaña quebrada,0,16,0,0,0,146,89,125,89125,-1.94E+54,3.99E-20
TINA,Pestaña quebrada,0,2,0,0,0,18,84,125,84125,-1.94E+54,3.99E-20
AGITADOR,Pestaña quebrada,0,1,0,0,0,9,4,125,4125,-1.94E+54,3.99E-20
Bracket housing,Pestaña deforme,2,0,0,0,0,18,26,124,26124,-7.12E+53,1.47E-20
Fascia,Perilla número de parte equivocado,0,2,0,0,0,18,53,123,53123,-2.62E+53,5.39E-21
Fascia,Perilla ausente,0,3,4,0,0,64,53,122,53122,-9.64E+52,1.98E-21
TRANSMISIÓN,Pegada,0,0,0,0,2,18,85,121,85121,-3.55E+52,7.30E-22
Tube ring,Pandeado,0,99,0,0,0,902,90,120,90120,-1.30E+52,2.69E-22
TUB COVER - VERTIC,Pandeado,372,0,0,0,0,3388,87,120,87120,-1.30E+52,2.69E-22
