RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM
C,ago - dic 2019,ARNES CABLE DE PODER,Clip sin ensamblar,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,ARNES CABLE DE PODER,Dañado,"109,784",0,1,0,0,0,1,9
AA,ago - dic 2019,Arnes cable de tierra,Tornillos barridos,"109,784",0,4,47,0,0,51,465
B,ago - dic 2019,Arnes cable de tierra,Cable roto,"109,784",0,1,12,0,0,13,118
C,ago - dic 2019,Arnes cable de tierra,Enredado / atrapado,"109,784",0,1,2,0,0,3,27
C,ago - dic 2019,Arnes cable de tierra,Conector con rebaba,"109,784",0,1,1,0,0,2,18
C,ago - dic 2019,Arnes cable de tierra,Dañado,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,Arnes cable de tierra,Falla funcional,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Arnes cable de tierra,Tornillo ausente,"109,784",0,0,1,0,0,1,9
A,ago - dic 2019,ARNES DE CAPACITOR,Desconectado,"109,784",0,3,3,0,7,13,118
B,ago - dic 2019,ARNES DE CAPACITOR,Cable roto,"109,784",0,0,15,0,0,15,137
C,ago - dic 2019,ARNES DE CAPACITOR,Conector quebrado,"109,784",0,1,4,0,0,5,46
C,ago - dic 2019,ARNES DE CAPACITOR,Conector con rebaba,"109,784",0,1,1,0,0,2,18
C,ago - dic 2019,ARNES DE CAPACITOR,Arnes atrapado,"109,784",0,0,1,0,0,1,9
A,ago - dic 2019,ARNES DE MOTOR,Desconectado,"109,784",0,2,3,0,6,11,100
C,ago - dic 2019,ARNES DE MOTOR,Enredado / atrapado,"109,784",0,1,2,0,0,3,27
C,ago - dic 2019,ARNES DE MOTOR,No de parte equivocado,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,ARNES DE MOTOR,Cable roto,"109,784",0,0,1,0,0,1,9
AA,ago - dic 2019,ARNES DE VÁLVULA,Desconectado,"109,784",0,2,2,0,10,14,128
C,ago - dic 2019,Arnes lower,Dañado,"109,784",0,0,0,1,0,1,9
B,ago - dic 2019,Arnes principal,Mal ensamblado,"109,784",0,2,0,1,0,3,27
C,ago - dic 2019,Arnes principal,Dañado,"109,784",0,4,0,0,0,4,36
C,ago - dic 2019,Arnes upper,Pin dañado,"109,784",0,3,0,0,0,3,27
B,ago - dic 2019,Auger agitador,Quebrado / pestaña quebrada,"109,784",0,3,20,0,0,23,210
C,ago - dic 2019,Auger agitador,Ausente,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,BALERO,Fuera de posición,"109,784",0,0,0,0,1,1,9
B,ago - dic 2019,BANDA,Suelta / Mal colocada,"109,784",0,1,1,0,8,10,91
C,ago - dic 2019,BANDA,Ausente,"109,784",0,6,11,0,0,17,155
C,ago - dic 2019,BASE PROT-PACKAGIN,Dañada en tarima,"109,784",9,0,0,0,0,9,82
C,ago - dic 2019,BASE PROT-PACKAGIN,Despegada,"109,784",6,0,0,0,0,6,55
C,ago - dic 2019,BASE PROT-PACKAGIN,Falta EPS,"109,784",3,0,0,0,0,3,27
C,ago - dic 2019,BASE PROT-PACKAGIN,Fuera de dimensión,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,BOBINA DE VALVULA,Agrietada,"109,784",0,0,0,0,1,1,9
AA,ago - dic 2019,BOLAS DE SUSPENSIÓN,Rotas,"109,784",0,2,3,0,19,33,301
C,ago - dic 2019,BOLAS DE SUSPENSIÓN,Sueltas,"109,784",0,0,0,0,1,1,9
A,ago - dic 2019,BOMBA,Quebrada,"109,784",0,13,8,0,3,24,219
B,ago - dic 2019,BOMBA,En corto / no activa,"109,784",1,0,0,0,3,4,36
B,ago - dic 2019,BOMBA,Abierta,"109,784",0,0,0,0,3,3,27
B,ago - dic 2019,BOMBA,Dañada,"109,784",0,0,0,0,2,2,18
C,ago - dic 2019,BOMBA,Quemada,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,BOMBA,Abrazadera mal ensamblada,"109,784",0,11,0,0,0,11,100
C,ago - dic 2019,BOMBA,Manguera dañada,"109,784",0,0,0,1,0,1,9
C,ago - dic 2019,BOMBA,conector dañado,"109,784",0,0,3,0,0,3,27
C,ago - dic 2019,BOMBA,Manguera mal ensamblada,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,BOMBA,Tornillo ausente,"109,784",0,1,1,0,0,2,18
C,ago - dic 2019,BOMBA,Mal ensamblada,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,BOMBA // ACU,En corto,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,Bracket housing,Tornillo ausente,"109,784",0,0,3,0,0,3,27
C,ago - dic 2019,Bracket housing,Tornillo falta de torque,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,Bracket housing,Pestaña deforme,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,Bracket housing,Tiro corto,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,Bracket metalico,Agrietado,"109,784",0,34,0,0,0,34,310
C,ago - dic 2019,Bracket metalico,Tornillo ausente,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,Bumper,Ausente,"109,784",0,3,0,0,0,3,27
C,ago - dic 2019,Cable poder,Clip Ausente,"109,784",23,0,0,0,0,23,210
C,ago - dic 2019,Cable poder,Tornillo Barrido,"109,784",0,7,0,0,0,7,64
C,ago - dic 2019,Cable poder,Clip sin ensamblar,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,Cable poder,Terminal doblada,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Cable poder,Falla funcional,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,Cable poder,Distancia de clip corta,"109,784",1,0,0,0,0,1,9
A,ago - dic 2019,CAM SPLUTCH,Fuera de posición / Mal ensamble,"109,784",0,4,5,3,17,29,264
C,ago - dic 2019,CAM SPLUTCH,Quebrado,"109,784",0,1,0,0,1,2,18
C,ago - dic 2019,Canasta drum,Mal clinchada,"109,784",0,8,0,0,0,8,73
C,ago - dic 2019,Canasta drum,Mal rectificado,"109,784",0,5,0,0,0,5,46
C,ago - dic 2019,Canasta drum,Mal ensamble,"109,784",0,2,1,0,0,3,27
C,ago - dic 2019,Canasta drum,Golpeada,"109,784",0,1,1,0,0,2,18
C,ago - dic 2019,Canasta drum,Fuera de especificación,"109,784",0,2,0,0,0,2,18
