Fecha,Product/ Platform,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5,$,Min,$,$ TOTAL,R=1:5,R=1:10,1,3,5,30,35,40,48,Priority
mayo-julio 2018,Jaguar,ACU,No respeta ciclos,"129,704",0,6,14,0,0,0,1,21,162,5,14.43,15,0.72,15.15,5,4,0,18,70,0,0,0,48,"13,600"
mayo-julio 2018,Jaguar,ACU,No enciende,"129,704",0,3,6,0,0,0,2,11,85,5,14.43,15,0.72,15.15,5,4,0,9,30,0,0,0,96,"13,500"
mayo-julio 2018,Jaguar,ACU,Mal programado,"129,704",0,7,0,0,0,0,2,9,69,5,14.43,15,0.72,15.15,5,4,0,21,0,0,0,0,96,"11,700"
mayo-julio 2018,Jaguar,ACU,No da señal,"129,704",0,0,0,0,0,0,3,3,23,4,14.43,15,0.72,15.15,5,4,0,0,0,0,0,0,144,"11,520"
mayo-julio 2018,Jaguar,ACU,Se apaga,"129,704",0,0,0,0,0,0,3,3,23,4,14.43,15,0.72,15.15,5,4,0,0,0,0,0,0,144,"11,520"
mayo-julio 2018,Jaguar,ACU,Descalibrada,"129,704",0,0,0,0,0,0,3,3,23,4,14.43,15,0.72,15.15,5,4,0,0,0,0,0,0,144,"11,520"
mayo-julio 2018,Jaguar,ACU,Quemado,"129,704",0,0,0,0,0,0,3,3,23,4,14.43,10,0.48,14.91,5,4,0,0,0,0,0,0,144,"11,520"
mayo-julio 2018,Jaguar,ACU,No lava- Arnes (Flojo),"129,704",0,2,9,0,0,0,1,12,93,5,14.43,15,0.72,15.15,5,4,0,6,45,0,0,0,48,"9,900"
mayo-julio 2018,Jaguar,ACU,No lava- Falso Contacto Arnes,"129,704",0,2,9,0,0,0,1,12,93,5,14.43,15,0.72,15.15,5,4,0,6,45,0,0,0,48,"9,900"
mayo-julio 2018,Jaguar,ACU,Arnés sin ensamblar,"129,704",0,0,3,0,0,0,0,3,23,4,14.43,15,0.72,15.15,5,4,0,0,15,0,0,0,0,"1,200"
mayo-julio 2018,Jaguar,ACU,No se activa,"129,704",0,0,0,0,0,0,1,1,8,1,14.43,15,0.72,15.15,5,4,0,0,0,0,0,0,48,960
mayo-julio 2018,Jaguar,ACU,Abierto,"129,704",0,0,0,0,0,0,1,1,8,1,14.43,15,0.72,15.15,5,4,0,0,0,0,0,0,48,960
mayo-julio 2018,Jaguar,ACU,Switch presión dañado,"129,704",0,0,0,0,0,0,1,1,8,1,14.43,15,0.72,15.15,5,4,0,0,0,0,0,0,48,960
ago - dic 2019,,ACU,LONG DRAIN / Flujo,"109,784",125,0,0,0,0,0,30,155,1412,5,10.97,15,0.93,11.9,5,4,125,0,0,0,0,0,"1,440","156,500"
ago - dic 2019,,ACU,Falla funcional,"109,784",15,0,152,0,0,0,0,167,1521,5,10.97,15,0.93,11.9,5,4,15,0,760,0,0,0,0,"77,500"
ago - dic 2019,,ACU,Mal programado en línea,"109,784",0,14,56,0,0,0,0,70,638,5,10.97,15,0.93,11.9,5,4,0,42,280,0,0,0,0,"32,200"
ago - dic 2019,,ACU,Conector mal ensamblado / sin ensamblar,"109,784",0,2,38,0,0,0,0,40,364,5,10.97,15,0.93,11.9,5,4,0,6,190,0,0,0,0,"19,600"
