RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM,,,,,,,,,,
C,ago - dic 2019,Inner tray,Carton duro,109784,22,0,0,0,0,22,200,,,,,,,,,,
B,ago - dic 2019,VÁLVULA,Falta de sello,109784,16,0,1,2,2,21,191,,,,,,,,,,
B,ago - dic 2019,AGITADOR,Tornillo barrido,109784,0,16,4,0,0,20,182,,,,,,,,,,
AA,ago - dic 2019,VÁLVULA,Abierta,109784,1,0,2,1,16,20,182,,,,,,,,,,
B,ago - dic 2019,Tarjeta Robin,Falla de LED,109784,0,8,11,0,0,19,173,,,,,,,,,,
A,ago - dic 2019,ACU//Bomba,En corto,109784,0,0,16,0,1,17,155,,,,,,,,,,
C,ago - dic 2019,BANDA,Ausente,109784,0,6,11,0,0,17,155,,,,,,,,,,
C,ago - dic 2019,ACU,No enciende,109784,16,0,0,0,0,16,146,,,,,,,,,,
C,ago - dic 2019,LABEL SCALE LEVEL,Ausente,109784,0,9,7,0,0,16,146,,,,,,,,,,
B,ago - dic 2019,Top panel,Pestaña quebrada,109784,0,16,0,0,0,16,146,,,,,,,,,,
A,ago - dic 2019,VÁLVULA,Desajustado,109784,0,2,10,0,4,16,146,,,,,,,,,,
C,ago - dic 2019,AGITADOR,Ausente,109784,0,15,0,0,0,15,137,,,,,,,,,,
B,ago - dic 2019,ARNES DE CAPACITOR,Cable roto,109784,0,0,15,0,0,15,137,,,,,,,,,,
C,ago - dic 2019,Etiqueta de advertencia,Incompleto,109784,0,15,0,0,0,15,137,,,,,,,,,,
AA,ago - dic 2019,ARNES DE VÁLVULA,Desconectado,109784,0,2,2,0,10,14,128,,,,,,,,,,
B,ago - dic 2019,Fascia,Serigrafía movida,109784,3,3,8,0,0,14,128,,,,,,,,,,
B,ago - dic 2019,Top panel,Soft clutch baja rápido,109784,0,14,0,0,0,14,128,,,,,,,,,,
AA,ago - dic 2019,VARILLAS DE SUSPENSIÓN,Quebrado,109784,1,0,0,0,13,14,128,,,,,,,,,,
B,ago - dic 2019,Arnes cable de tierra,Cable roto,109784,0,1,12,0,0,13,118,,,,,,,,,,
A,ago - dic 2019,ARNES DE CAPACITOR,Desconectado,109784,0,3,3,0,7,13,118,,,,,,,,,,
C,ago - dic 2019,COVER PULLEY,Floja,109784,0,6,6,0,1,13,118,,,,,,,,,,
C,ago - dic 2019,ACU,Dreno sin terminar ciclo,109784,12,0,0,0,0,12,109,,,,,,,,,,
C,ago - dic 2019,ACU,No entra cable en data,109784,12,0,0,0,0,12,109,,,,,,,,,,
B,ago - dic 2019,ARNES ACTUADOR,Quebrado,109784,1,3,5,0,3,12,109,,,,,,,,,,
C,ago - dic 2019,Impeller,Tornillo barrido,109784,0,10,2,0,0,12,109,,,,,,,,,,
A,ago - dic 2019,MOTOR,En corto,109784,2,0,8,0,2,12,109,,,,,,,,,,
A,ago - dic 2019,ARNES DE MOTOR,Desconectado,109784,0,2,3,0,6,11,100,,,,,,,,,,
C,ago - dic 2019,BOMBA,Abrazadera mal ensamblada,109784,0,11,0,0,0,11,100,,,,,,,,,,
C,ago - dic 2019,Tarjeta Robin,No realiza prueba,109784,11,0,0,0,0,11,100,,,,,,,,,,
B,ago - dic 2019,TRANSMISIÓN,Snap fuera de posición,109784,0,3,8,0,0,11,100,,,,,,,,,,
B,ago - dic 2019,BANDA,Suelto,109784,0,1,1,0,8,10,91,,,,,,,,,,
C,ago - dic 2019,CAPACITOR,Terminal deforme,109784,0,9,1,0,0,10,91,,,,,,,,,,
B,ago - dic 2019,Fascia,Mal ensamble,109784,0,8,2,0,0,10,91,,,,,,,,,,
B,ago - dic 2019,Top panel,Mal ensamble,109784,0,2,8,0,0,10,91,,,,,,,,,,
C,ago - dic 2019,BASE PROT-PACKAGIN,Dañado,109784,9,0,0,0,0,9,82,,,,,,,,,,
C,ago - dic 2019,Encoder,Mal ensamble,109784,0,8,1,0,0,9,82,,,,,,,,,,
A,ago - dic 2019,LID LOCK,En corto,109784,1,0,5,0,3,9,82,,,,,,,,,,
B,ago - dic 2019,Mega,Quebrado,109784,0,0,9,0,0,9,82,,,,,,,,,,
C,ago - dic 2019,Canasta drum,Mal Ajustada,109784,0,8,0,0,0,8,73,,,,,,,,,,
C,ago - dic 2019,DISPENSADOR,Deforme,109784,6,2,0,0,0,8,73,,,,,,,,,,
AA,ago - dic 2019,LID,Ruido,109784,0,0,0,1,7,8,73,,,,,,,,,,
B,ago - dic 2019,MANGUERA APS,Desconectado,109784,0,3,4,0,1,8,73,,,,,,,,,,
B,ago - dic 2019,MOTOR,Tornillo ausente,109784,2,1,5,0,0,8,73,,,,,,,,,,
B,ago - dic 2019,POLEA,Floja,109784,0,0,0,0,8,8,73,,,,,,,,,,
C,ago - dic 2019,REAR PANEL,Tornillo ausente,109784,0,8,0,0,0,8,73,,,,,,,,,,
B,ago - dic 2019,TRANSMISIÓN,Dañado,109784,0,6,1,0,1,8,73,,,,,,,,,,
B,ago - dic 2019,VÁLVULA,Tornillo ausente,109784,1,2,4,0,1,8,73,,,,,,,,,,
C,ago - dic 2019,VÁLVULA,Falta de torque,109784,0,0,8,0,0,8,73,,,,,,,,,,
C,ago - dic 2019,Agitador couple,Tornillo barrido,109784,0,7,0,0,0,7,64,,,,,,,,,,
