RANK,Part Number,Component Code,Problem Description ,Volume,SQ,In Process,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5 of freq,$,Min,Labor Cost,Total Cost,R=1:5 of cost,R=1:10 severity,1,3,5,30,35,40,48,Priority 
C,w11385745 / w11385756 / w11385737,ACU,No enciende,109784,16,0,0,0,,,0,16,145.7407272,5,10.97,15,0.9325,11.9025,5,4,16,0,0,0,0,0,0,1600
C,W10715767,TRANSMISIÓN,Tornillo barrido,109784,0,2,2,0,,,0,4,36.43518181,5,16.25,30,1.865,18.115,5,4,0,6,10,0,0,0,0,1600
C,W10843769,CAPACITOR,Falla funcional,109784,1,0,5,0,0,0,0,6,54.65277272,5,2.02,15,0.9325,2.9525,3,4,1,0,25,0,0,0,0,1560
C,W10763078,MANGUERA DE DRENADO Tina a Bomba ,Rota,109784,0,0,0,1,,,1,2,18.21759091,5,0.53,5,0.310833333,0.840833333,1,4,0,0,0,30,0,0,48,1560
C,W11287268 / W11282699,Top panel,Tornillo ausente,109784,0,3,2,0,,,0,5,45.54397726,5,7.7,30,1.865,9.565,4,4,0,9,10,0,0,0,0,1520
C,W10808317,BANDA,Ausente,109784,0,6,11,0,,,0,17,154.8495227,5,0.37,10,0.621666667,0.991666667,1,4,0,18,55,0,0,0,0,1460
C,W11266057,REAR PANEL,Tornillo ausente,109784,0,8,0,0,,,0,8,72.87036362,5,2.84,5,0.310833333,3.150833333,3,4,0,24,0,0,0,0,0,1440
C,W10465543,BOMBA,Manguera dañada,109784,0,0,0,1,,,0,1,9.108795453,4,2.6,15,0.9325,3.5325,3,4,0,0,0,30,0,0,0,1440
C,OK,Arnes lower,Dañado,109784,0,0,0,1,,0,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,0,30,0,0,0,1440
C,W11266056,Channel top rear,Agrietado,109784,0,7,0,0,,,0,7,63.76156817,5,2.84,5,0.310833333,3.150833333,3,4,0,21,0,0,0,0,0,1260
C,"w11295686
w11295684",Tarjeta Robin,Tornillo ausente,109784,0,2,3,0,,,0,5,45.54397726,5,2.78,10,0.621666667,3.401666667,3,4,0,6,15,0,0,0,0,1260
C,W11290467 / W11290465 / W11290468 / W11290466,LABEL SCALE LEVEL,Ausentes,109784,0,9,7,0,,,0,16,145.7407272,5,0.31,5,0.310833333,0.620833333,1,4,0,27,35,0,0,0,0,1240
C,"W11126886
W11129841",Canasta drum,Mal rectificado,109784,0,5,0,0,,,0,5,45.54397726,5,6.13,60,3.73,9.86,4,4,0,15,0,0,0,0,0,1200
C,w11385745 / w11385756 / w11385737,ACU,No entra cable en data,109784,12,0,0,0,,,0,12,109.3055454,5,10.97,15,0.9325,11.9025,5,4,12,0,0,0,0,0,0,1200
C,w11385745 / w11385756 / w11385737,ACU,Dreno sin terminar ciclo,109784,12,0,0,0,,,0,12,109.3055454,5,10.97,15,0.9325,11.9025,5,4,12,0,0,0,0,0,0,1200
C,ok,Arnes de capacitor,Conector quebrado,109784,0,1,4,0,,,0,5,45.54397726,5,1.26,20,1.243333333,2.503333333,3,4,0,3,20,0,0,0,0,1380
C,"W11126948
W11126875
W11339251
W11339248",TINA,Orificio tapado,109784,0,2,1,0,0,0,0,3,27.32638636,5,12.72,60,3.73,16.45,5,4,0,6,5,0,0,0,0,1100
C,w11385745 / w11385756 / w11385737,ACU,Conector quebrado / Conector dañado,109784,1,0,2,0,,,0,3,27.32638636,5,10.97,15,0.9325,11.9025,5,4,1,0,10,0,0,0,0,1100
C,W10215115,Impeller,Rebaba,109784,3,0,3,0,,,0,6,54.65277272,5,1.6,5,0.310833333,1.910833333,3,4,3,0,15,0,0,0,0,1080
C,W10515799,Rear top,Tornillo ausente,109784,0,6,0,0,,,0,6,54.65277272,5,1.71,3,0.1865,1.8965,3,4,0,18,0,0,0,0,0,1080
C,W11241391,Lid metalico,Tornillo ausente,109784,0,1,2,0,,,0,3,27.32638636,5,4.79,3,0.1865,4.9765,4,4,0,3,10,0,0,0,0,1040
C,W10006354,CAM SPLUTCH,Quebrado,109784,0,1,0,0,,,1,2,18.21759091,5,0.14,5,0.310833333,0.450833333,1,4,0,3,0,0,0,0,48,1020
C,"W11291948, w11135363",PERILLA,Suelta,109784,0,1,0,0,,,1,2,18.21759091,5,0.52,1,0.062166667,0.582166667,1,4,0,3,0,0,0,0,48,1020
C,W10515817,Chanel bottom,Incompleto,109784,0,0,5,0,,,0,5,45.54397726,5,1.32,3,0.1865,1.5065,2,4,0,0,25,0,0,0,0,1000
C,"W11258338  W11258336  W11294875
W11294877",Cover hinge LH y RH,Equivocado,109784,39,2,1,0,,,0,42,382.569409,5,0.21,3,0.1865,0.3965,1,4,39,6,5,0,0,0,0,1000
C,W11297195 / w11304407 / w11369163,LID,"Golpeado, agrietado, quebrado",109784,0,0,2,0,,,0,2,18.21759091,5,12.17,3,0.1865,12.3565,5,4,0,0,10,0,0,0,0,1000
C,"W10677719, W10899834, W10677721",MOTOR,Cable suelto,109784,0,0,2,0,,,0,2,18.21759091,5,16.3,20,1.243333333,17.54333333,5,4,0,0,10,0,0,0,0,1000
C,W11260197,Arnes principal,Dañado,109784,0,4,0,0,,0,0,4,36.43518181,5,4.42,20,1.243333333,5.663333333,4,4,0,12,0,0,0,0,0,960
C,W11260207,Cable poder,Clip Ausente,109784,23,0,0,0,,,0,23,209.5022954,5,1.51,5,0.310833333,1.820833333,2,4,23,0,0,0,0,0,0,920
C,W10319871,Etiqueta de advertencia,Incompleto,109784,0,15,0,0,,,0,15,136.6319318,5,0.01,2,0.124333333,0.134333333,1,4,0,45,0,0,0,0,0,900
C,ok,ARNES ACTUADOR,Enredado / atrapado,109784,0,1,3,0,,,0,4,36.43518181,5,1.26,20,1.243333333,2.503333333,3,4,0,3,15,0,0,0,0,1080
C,W10715767,TRANSMISIÓN,Snap doble,109784,0,3,0,0,0,0,0,3,27.32638636,5,16.25,30,1.865,18.115,5,4,0,9,0,0,0,0,0,900
C,W10465543,BOMBA,conector dañado,109784,0,0,3,0,,,0,3,27.32638636,5,2.6,15,0.9325,3.5325,3,4,0,0,15,0,0,0,0,900
C,W11303088,Bracket housing,Tornillo ausente,109784,0,0,3,0,,,0,3,27.32638636,5,1.62,10,0.621666667,2.241666667,3,4,0,0,15,0,0,0,0,900
C,"w11295686
w11295684",Tarjeta Robin,Mal ruteo,109784,0,0,3,0,,,0,3,27.32638636,5,2.78,10,0.621666667,3.401666667,3,4,0,0,15,0,0,0,0,900
C,W10516132,Planetario,Rebaba,109784,0,3,0,0,,,0,3,27.32638636,5,9.4,30,1.865,11.265,5,4,0,9,0,0,0,0,0,900
C,W10655102,Speed wheel,Pandeado / deformado,109784,44,0,0,0,,,0,44,400.7869999,5,0.26,12,0.746,1.006,1,4,44,0,0,0,0,0,0,880
C,"W11126886
W11129841",Canasta drum,Mal ensamble,109784,0,2,1,0,,,0,3,27.32638636,5,6.13,60,3.73,9.86,4,4,0,6,5,0,0,0,0,880
C,W11260197,MANGUERA APS,Contaminación / sucias,109784,0,2,1,0,,,0,3,27.32638636,5,4.42,5,0.310833333,4.730833333,4,4,0,6,5,0,0,0,0,880
C,W11260207,Cable poder,Tornillo Barrido,109784,0,7,0,0,,,0,7,63.76156817,5,1.51,5,0.310833333,1.820833333,2,4,0,21,0,0,0,0,0,840
C,W10715787,Agitador couple,Tornillo falta de torque,109784,0,7,0,0,,,0,7,63.76156817,5,0.71,10,0.621666667,1.331666667,2,4,0,21,0,0,0,0,0,840
C,W11297195 / w11304407 / w11369163,LID,Bumper ausente,109784,2,2,0,0,,,0,4,36.43518181,5,12.17,3,0.1865,12.3565,5,4,2,6,0,0,0,0,0,800
C,"W11296162
W11296163",Mega,Conector mal ensamblado / sin ensamblar,109784,2,1,1,0,,,0,4,36.43518181,5,4.17,10,0.621666667,4.791666667,4,4,2,3,5,0,0,0,0,800
C,W11297195 / w11304407 / w11369163,Lid Plastico,Dañado / rayado,109784,5,1,0,0,,,0,6,54.65277272,5,12.17,3,0.1865,12.3565,5,4,5,3,0,0,0,0,0,800
C,W11297195 / w11304407 / w11369163,LID,Mal ensamble de bisagras,109784,0,1,1,0,,,0,2,18.21759091,5,12.17,3,0.1865,12.3565,5,4,0,3,5,0,0,0,0,800
C,"W11126948
W11126875
W11339251
W11339248",TINA,Con Suciedad / contaminadas,109784,0,1,1,0,0,0,0,2,18.21759091,5,12.72,60,3.73,16.45,5,4,0,3,5,0,0,0,0,800
C,"W11296162
W11296163",Mega,Boton ausente,109784,0,0,2,0,,,0,2,18.21759091,5,4.17,10,0.621666667,4.791666667,4,4,0,0,10,0,0,0,0,800
C,"W11296162
W11296163",Mega,Conector quebrado,109784,0,0,2,0,,,0,2,18.21759091,5,4.17,10,0.621666667,4.791666667,4,4,0,0,10,0,0,0,0,800
C,W10531691 / W10715783,AGITADOR,Pandeado,109784,0,1,2,0,,,0,3,27.32638636,5,2.99,10,0.621666667,3.611666667,3,4,0,3,10,0,0,0,0,780
C,8580006,CUP DISPENSER,Fuera de posición,109784,0,0,0,0,,,1,1,9.108795453,4,0.94,5,0.310833333,1.250833333,1,4,0,0,0,0,0,0,48,768
C,W10550173,COVER PULLEY,Fuera de posición,109784,0,0,0,0,,,1,1,9.108795453,4,0.72,3,0.1865,0.9065,1,4,0,0,0,0,0,0,48,768
C,W11179235,PATA NIVELADORA,Golpe,109784,0,0,0,0,,,1,1,9.108795453,4,0.1,2,0.124333333,0.224333333,1,4,0,0,0,0,0,0,48,768
C,"W11258982
W11258983",MANGUERAS DE LLENADO,Tamaño diferente al requerido,109784,0,0,0,0,,,1,1,9.108795453,4,0.67,2,0.124333333,0.794333333,1,4,0,0,0,0,0,0,48,768
C,W10601366,MANGUERA DE DRENADO,Rota,109784,0,0,0,0,,,1,1,9.108795453,4,0.66,2,0.124333333,0.784333333,1,4,0,0,0,0,0,0,48,768
C,W10655102,Speed wheel,Quebrado / dañado / fracturado,109784,3,1,0,1,,,0,5,45.54397726,5,0.26,12,0.746,1.006,1,4,3,3,0,30,0,0,0,720
C,W11287268 / W11282699,Top panel,Defecto inyección / tiro corto,109784,3,2,0,0,,,0,5,45.54397726,5,7.7,30,1.865,9.565,4,4,3,6,0,0,0,0,0,720
C,W11368879 /  W11281154 ,Fascia,Poste deforme,109784,0,3,0,0,,,0,3,27.32638636,5,8.79,15,0.9325,9.7225,4,4,0,9,0,0,0,0,0,720
C,W10815026,ACTUATOR - SHIFT,Ciclo lento,109784,2,0,2,0,,,0,4,36.43518181,5,3,12,0.746,3.746,3,4,2,0,10,0,0,0,0,720
C,W10821259,Tube ring,Rayado / golpeado / quebrado,109784,0,4,0,0,,,0,4,36.43518181,5,1.95,15,0.9325,2.8825,3,4,0,12,0,0,0,0,0,720
C,W11084453 / W11226774,VARILLAS DE SUSPENSIÓN,Equivocada,109784,0,3,0,0,,,0,3,27.32638636,5,0.7,30,1.865,2.565,3,4,0,12,0,0,0,0,0,720
C,W10531691 / W10715783,AGITADOR,Tornillo ausente,109784,0,4,0,0,,,0,4,36.43518181,5,2.99,10,0.621666667,3.611666667,3,4,0,12,0,0,0,0,0,720
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Deforme,109784,6,2,0,0,,,0,8,72.87036362,5,1.76,5,0.310833333,2.070833333,3,4,6,6,0,0,0,0,0,720
C,"w11295686
w11295684",Tarjeta Robin,No realiza prueba,109784,11,0,0,0,,,0,11,100.19675,5,2.78,10,0.621666667,3.401666667,3,4,11,0,0,0,0,0,0,660
C,W11368879 /  W11281154 ,Fascia,Botón fuera de especificación,109784,5,1,0,0,,,0,6,54.65277272,5,8.79,15,0.9325,9.7225,4,4,5,3,0,0,0,0,0,640
C,"W11126886
W11129841",Canasta drum,Golpeada,109784,0,1,1,0,,,0,2,18.21759091,5,6.13,60,3.73,9.86,4,4,0,3,5,0,0,0,0,640
C,W11241388,Lid metalico,Golpeado,109784,0,1,1,0,,,0,2,18.21759091,5,4.79,3,0.1865,4.9765,4,4,0,3,5,0,0,0,0,640
C,w11385745 / w11385756 / w11385737,ACU,Conector equivocado,109784,6,0,0,0,,,0,6,54.65277272,5,10.97,15,0.9325,11.9025,5,4,6,0,0,0,0,0,0,600
C,w11385745 / w11385756 / w11385737,ACU,Leds encendidos (dañada),109784,6,0,0,0,,,0,6,54.65277272,5,10.97,15,0.9325,11.9025,5,4,6,0,0,0,0,0,0,600
C,W10465543,BOMBA,Manguera mal ensamblada,109784,0,0,2,0,,,0,2,18.21759091,5,2.6,15,0.9325,3.5325,3,4,0,0,10,0,0,0,0,600
C,ok,ARNES DE MOTOR,Enredado / atrapado,109784,0,1,2,0,,,0,3,27.32638636,5,1.26,20,1.243333333,2.503333333,3,4,0,3,10,0,0,0,0,780
C,w11101593 / w11101591 / W11161683 / W11161682,VÁLVULA,conector dañado,109784,0,0,2,0,,,0,2,18.21759091,5,1.77,15,0.9325,2.7025,3,4,0,0,10,0,0,0,0,600
C,"W11126948
W11126875
W11339251
W11339248",TINA,Tiro corto,109784,0,2,0,0,,,0,2,18.21759091,5,12.72,60,3.73,16.45,5,4,0,6,0,0,0,0,0,600
C,"W11126948
W11126875
W11339251
W11339248",TINA,Tornillo dentro de unidad,109784,0,2,0,0,,,0,2,18.21759091,5,12.72,60,3.73,16.45,5,4,0,6,0,0,0,0,0,600
C,"W11126948
W11126875
W11339251
W11339248",TINA,Pestaña quebrada,109784,0,2,0,0,,,0,2,18.21759091,5,12.72,60,3.73,16.45,5,4,0,6,0,0,0,0,0,600
C,OK,Arnes cable de tierra,Enredado / atrapado,109784,0,1,2,0,,,0,3,27.32638636,5,1.26,20,1.243333333,2.503333333,3,4,0,3,10,0,0,0,0,780
C,"w11295686
w11295684",Tarjeta Robin,Boton fuera de especificación,109784,0,0,2,0,,,0,2,18.21759091,5,2.78,10,0.621666667,3.401666667,3,4,0,0,10,0,0,0,0,600
C,W10823513,Gabinetes,Doblez deformado,109784,0,2,0,0,,,0,2,18.21759091,5,11.76,5,0.310833333,12.07083333,5,4,0,6,0,0,0,0,0,600
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Tornillo ausente,109784,0,0,2,0,,,0,2,18.21759091,5,1.76,5,0.310833333,2.070833333,3,4,0,0,10,0,0,0,0,600
C,w11306970 / w11369476 / W11331455,DISPENSADOR,No de parte equivocado,109784,0,0,2,0,,,0,2,18.21759091,5,1.76,5,0.310833333,2.070833333,3,4,0,0,10,0,0,0,0,600
C,"W10414381
W10414397
W10414398
W11195059",Encoder,Mal ensamble / sin ensamblar,109784,0,8,1,0,,,0,9,81.97915908,5,0.68,3,0.1865,0.8665,1,4,0,24,5,0,0,0,0,580
C,w11302950,LID LOCK,Candadeado/Activado,109784,7,0,0,0,,,0,7,63.76156817,5,3.75,15,0.9325,4.6825,4,4,7,0,0,0,0,0,0,560
C,"W11296162
W11296163",Mega,No realiza prueba,109784,4,1,0,0,,,0,5,45.54397726,5,4.17,10,0.621666667,4.791666667,4,4,4,3,0,0,0,0,0,560
C,8566198,Air dome,Ausente,109784,0,4,3,0,,,0,7,63.76156817,5,0.07,5,0.310833333,0.380833333,1,4,0,12,15,0,0,0,0,540
C,W11385805,BASE PROT-PACKAGIN,Dañada en tarima,109784,9,0,0,0,,,0,9,81.97915908,5,2.06,5,0.310833333,2.370833333,3,4,9,0,0,0,0,0,0,540
C,W11266056,REAR PANEL,Falta de torque,109784,0,3,0,0,,,0,3,27.32638636,5,2.84,5,0.310833333,3.150833333,3,4,0,9,0,0,0,0,0,540
C,OK,Arnes upper,Pin dañado,109784,0,3,0,0,,,0,3,27.32638636,5,1.26,20,1.243333333,2.503333333,3,4,0,9,0,0,0,0,0,540
C,ok,Clip arnes blanco,Mal ensamble,109784,0,3,0,0,,,0,3,27.32638636,5,1.26,20,1.243333333,2.503333333,3,4,0,9,0,0,0,0,0,540
C,w11385745 / w11385756 / w11385737,ACU,LED,109784,5,0,0,0,,,0,5,45.54397726,5,10.97,15,0.9325,11.9025,5,4,5,0,0,0,0,0,0,500
C,W11368879 /  W11281154 ,Fascia,Tiro corto,109784,3,1,0,0,,,0,4,36.43518181,5,8.79,15,0.9325,9.7225,4,4,3,3,0,0,0,0,0,480
C,"W10414381
W10414397
W10414398
W11195059",Encoder,Invertido,109784,0,3,3,0,,,0,6,54.65277272,5,0.68,3,0.1865,0.8665,1,4,0,9,15,0,0,0,0,480
C,W11368879 /  W11281154 ,Fascia,Perilla número de parte equivocado,109784,0,2,0,0,,,0,2,18.21759091,5,8.79,15,0.9325,9.7225,4,4,0,6,0,0,0,0,0,480
C,"W11126886
W11129841",Canasta drum,Fuera de especificación,109784,0,2,0,0,,,0,2,18.21759091,5,6.13,60,3.73,9.86,4,4,0,6,0,0,0,0,0,480
C,W10465543,BOMBA,Tornillo ausente,109784,0,1,1,0,,,0,2,18.21759091,5,2.6,15,0.9325,3.5325,3,4,0,3,5,0,0,0,0,480
C,W11303073,LABEL - PROD REG,Mal impresa,109784,23,0,0,0,,,0,23,209.5022954,5,0.06,2,0.124333333,0.184333333,1,4,23,0,0,0,0,0,0,460
C,W11307231,Inner tray,Carton duro,109784,22,0,0,0,,,0,22,200.3935,5,0.31,2,0.124333333,0.434333333,1,4,22,0,0,0,0,0,0,440
C,ok,Etiqueta garanía,Ausente,109784,0,7,0,0,,,0,7,63.76156817,5,0.02,2,0.124333333,0.144333333,1,4,0,21,0,0,0,0,0,420
C,w11385745 / w11385756 / w11385737,ACU,Valvula 2 corriente 82 / valvula corriente,109784,4,0,0,0,,,0,4,36.43518181,5,10.97,15,0.9325,11.9025,5,4,4,0,0,0,0,0,0,400
C,W11260207,Cable poder,Clip sin ensamblar,109784,0,0,2,0,,,0,2,18.21759091,5,1.51,5,0.310833333,1.820833333,2,4,0,0,10,0,0,0,0,400
C,W11297195 / w11304407 / w11369163,LID,Contaminado,109784,0,0,1,0,,,0,1,9.108795453,4,12.17,3,0.1865,12.3565,5,4,0,0,5,0,0,0,0,400
C,W10715767,TRANSMISIÓN,Tornillos extra,109784,0,0,1,0,,,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,0,5,0,0,0,0,400
C,W10715767,TRANSMISIÓN,speed weel ausente,109784,0,0,1,0,,,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,0,5,0,0,0,0,400
C,W10715767,TRANSMISIÓN,Agrietada,109784,0,0,1,0,,,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,0,5,0,0,0,0,400
C,W10823513,Gabinetes,Marca de rebaba,109784,0,0,1,0,,,0,1,9.108795453,4,11.76,5,0.310833333,12.07083333,5,4,0,0,5,0,0,0,0,400
C,W10823513,Gabinetes,Desprendimiento de pintura,109784,0,0,1,0,,,0,1,9.108795453,4,11.76,5,0.310833333,12.07083333,5,4,0,0,5,0,0,0,0,400
C,W11385805,BASE PROT-PACKAGIN,Despegada,109784,6,0,0,0,,,0,6,54.65277272,5,2.06,5,0.310833333,2.370833333,3,4,6,0,0,0,0,0,0,360
C,W10465543,BOMBA,Mal ensamblada,109784,0,2,0,0,,,0,2,18.21759091,5,2.6,15,0.9325,3.5325,3,4,0,6,0,0,0,0,0,360
C,W10843769,CAPACITOR,Fuera de especificación,109784,0,2,0,0,0,0,0,2,18.21759091,5,2.02,15,0.9325,2.9525,3,4,0,6,0,0,0,0,0,360
C,w11260197 / w11260203 / w11260206,ARNES,Clip fuera de especificación,109784,0,2,0,0,,,0,2,18.21759091,5,1.26,20,1.243333333,2.503333333,3,4,0,6,0,0,0,0,0,360
C,W11303088,Bracket housing,Tornillo falta de torque,109784,0,2,0,0,,,0,2,18.21759091,5,1.62,10,0.621666667,2.241666667,3,4,0,6,0,0,0,0,0,360
C,W11182552,Auger agitador,Ausente,109784,0,2,0,0,,,0,2,18.21759091,5,1.85,10,0.621666667,2.471666667,3,4,0,6,0,0,0,0,0,360
C,OK,Arnes cable de tierra,Dañado,109784,0,2,0,0,,0,0,2,18.21759091,5,1.26,20,1.243333333,2.503333333,3,4,0,6,0,0,0,0,0,360
C,W10821259,Tube ring,Deforme,109784,0,2,0,0,,,0,2,18.21759091,5,1.95,15,0.9325,2.8825,3,4,0,6,0,0,0,0,0,360
C,W10821259,Tube ring,Pestaña quebrada,109784,0,2,0,0,,,0,2,18.21759091,5,1.95,15,0.9325,2.8825,3,4,0,6,0,0,0,0,0,360
C,w11306970 / w11369476 / W11331455,DISPENSADOR,Falta de syphon,109784,0,2,0,0,,,0,2,18.21759091,5,1.76,5,0.310833333,2.070833333,3,4,0,6,0,0,0,0,0,360
C,W10215115,Impeller,Mal ensamble a base basket / pre-colocación de tornillo,109784,0,2,0,0,,,0,2,18.21759091,5,1.6,5,0.310833333,1.910833333,3,4,0,6,0,0,0,0,0,360
C,"W11291948, w11135363",Perilla,Poste deforme,109784,2,0,3,0,,,0,5,45.54397726,5,0.52,1,0.062166667,0.582166667,1,4,2,0,15,0,0,0,0,340
C,W11287268 / W11282699,Top panel,Contamiando,109784,4,0,0,0,,,0,4,36.43518181,5,7.7,30,1.865,9.565,4,4,4,0,0,0,0,0,0,320
C,w11302950,LID LOCK,Tiro corto,109784,4,0,0,0,,,0,4,36.43518181,5,3.75,15,0.9325,4.6825,4,4,4,0,0,0,0,0,0,320
C,"W11126886
W11129841",Canasta drum,Base golpeado / quebrado,109784,0,0,1,0,,,0,1,9.108795453,4,6.13,60,3.73,9.86,4,4,0,0,5,0,0,0,0,320
C,"W11126886
W11129841",Canasta drum,Balance golpeado / quebrado,109784,0,0,1,0,,,0,1,9.108795453,4,6.13,60,3.73,9.86,4,4,0,0,5,0,0,0,0,320
C,W11368879 /  W11281154 ,Fascia,Cable roto de encoder,109784,0,0,1,0,,,0,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,0,0,5,0,0,0,0,320
C,W11368879 /  W11281154 ,Fascia,Contaminada,109784,0,0,1,0,,,0,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,0,0,5,0,0,0,0,320
C,W11368879 /  W11281154 ,Fascia,Overlay despegado,109784,0,0,1,0,,,0,1,9.108795453,4,8.79,15,0.9325,9.7225,4,4,0,0,5,0,0,0,0,320
C,W11287268 / W11282699,Top panel,Nut ausente,109784,0,0,1,0,,,0,1,9.108795453,4,7.7,30,1.865,9.565,4,4,0,0,5,0,0,0,0,320
C,w11302950,LID LOCK,Quebrado / dañado,109784,0,0,1,0,,,0,1,9.108795453,4,3.75,15,0.9325,4.6825,4,4,0,0,5,0,0,0,0,320
C,W11241386,Lid metalico,Visagra con mal ensamble,109784,0,0,1,0,,,0,1,9.108795453,4,4.79,3,0.1865,4.9765,4,4,0,0,5,0,0,0,0,320
C,W11241387,Lid metalico,Bumper ausente,109784,0,0,1,0,,,0,1,9.108795453,4,4.79,3,0.1865,4.9765,4,4,0,0,5,0,0,0,0,320
C,W11241389,Lid metalico,Strike hook ausente,109784,0,0,1,0,,,0,1,9.108795453,4,4.79,3,0.1865,4.9765,4,4,0,0,5,0,0,0,0,320
C,W10843769,CAPACITOR,Conector dañado,109784,2,1,0,0,0,0,0,3,27.32638636,5,2.02,15,0.9325,2.9525,3,4,2,3,0,0,0,0,0,300
C,w11385745 / w11385756 / w11385737,ACU,Falla de programación,109784,3,0,0,0,,,0,3,27.32638636,5,10.97,15,0.9325,11.9025,5,4,3,0,0,0,0,0,0,300
C,"W10677719, W10899834, W10677721",MOTOR,Falla en agitación ,109784,3,0,0,0,,,0,3,27.32638636,5,16.3,20,1.243333333,17.54333333,5,4,3,0,0,0,0,0,0,300
C,W10517931,Etiqueta conagua,Ausentes,109784,0,3,1,0,,,0,4,36.43518181,5,0.1,2,0.124333333,0.224333333,1,4,0,9,5,0,0,0,0,280
C,W11368879 /  W11281154 ,Fascia,Rebaba,109784,3,0,0,0,,,0,3,27.32638636,5,8.79,15,0.9325,9.7225,4,4,3,0,0,0,0,0,0,240
C,"w11295686
w11295684",Tarjeta Robin,Falta de LED,109784,4,0,0,0,,,0,4,36.43518181,5,2.78,10,0.621666667,3.401666667,3,4,4,0,0,0,0,0,0,240
C,w11260197 / w11260203 / w11260206,ARNES,Terminal suelta,109784,4,0,0,0,,,0,4,36.43518181,5,1.26,20,1.243333333,2.503333333,3,4,4,0,0,0,0,0,0,240
C,W10843769,CAPACITOR,Mal ensamble,109784,4,0,0,0,,,0,4,36.43518181,5,2.02,15,0.9325,2.9525,3,4,4,0,0,0,0,0,0,240
C,ok,ARNES CABLE DE PODER,Clip ausente/ Omision de ensamble ,109784,0,2,1,0,,,0,3,27.32638636,5,1.26,20,1.243333333,2.503333333,3,4,0,6,5,0,0,0,0,660
C,W10715767,TRANSMISIÓN,Mal clinchado en maquina,109784,0,1,0,0,0,0,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,3,0,0,0,0,0,240
C,W10715767,TRANSMISIÓN,Fuera de posición,109784,0,1,0,0,0,0,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,3,0,0,0,0,0,240
C,W10715767,TRANSMISIÓN,Doble componente,109784,0,1,0,0,0,0,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,3,0,0,0,0,0,240
C,W10715767,TRANSMISIÓN,Ausente,109784,0,1,0,0,,,0,1,9.108795453,4,16.25,30,1.865,18.115,5,4,0,3,0,0,0,0,0,240
C,ok,ARNES DE MOTOR,No de parte equivocado,109784,0,0,1,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,5,0,0,0,0,240
C,ok,ARNES DE MOTOR,Cable roto,109784,0,0,1,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,5,0,0,0,0,240
C,"W11126948
W11126875
W11339251
W11339248",TINA,Mal ensamble,109784,0,1,0,0,,,0,1,9.108795453,4,12.72,60,3.73,16.45,5,4,0,3,0,0,0,0,0,240
C,OK,Arnes cable de tierra,Conector con rebaba,109784,0,1,1,0,,,0,2,18.21759091,5,1.26,20,1.243333333,2.503333333,3,4,0,3,5,0,0,0,0,480
C,OK,Arnes cable de tierra,Falla funcional,109784,0,0,1,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,5,0,0,0,0,240
C,OK,Arnes cable de tierra,Tornillo ausente,109784,0,0,1,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,5,0,0,0,0,240
C,ok,Arnes de capacitor,Arnes atrapado,109784,0,0,1,0,,,0,1,9.108795453,4,1.26,20,1.243333333,2.503333333,3,4,0,0,5,0,0,0,0,240
C,ok,Arnes de capacitor,Conector con rebaba,109784,0,1,1,0,,,0,2,18.21759091,5,1.26,20,1.243333333,2.503333333,3,4,0,3,5,0,0,0,0,480
C,"w11295686
w11295684",Tarjeta Robin,Conector quebrado,109784,0,0,1,0,,,0,1,9.108795453,4,2.78,10,0.621666667,3.401666667,3,4,0,0,5,0,0,0,0,240
C,W11297195 / w11304407 / w11369163,Lid Plastico,Cover hinge equivocado,109784,0,1,0,0,,,0,1,9.108795453,4,12.17,3,0.1865,12.3565,5,4,0,3,0,0,0,0,0,240
C,W10516132,Planetario,Agrietado,109784,0,1,0,0,,,0,1,9.108795453,4,9.4,30,1.865,11.265,5,4,0,3,0,0,0,0,0,240
C,ok,Etiqueta de atención,Ausentes,109784,0,2,1,0,,,0,3,27.32638636,5,0.02,2,0.124333333,0.144333333,1,4,0,6,5,0,0,0,0,220
C,8580006,Dispenser sencillo,Ausente en agitador,109784,0,0,2,0,,,0,2,18.21759091,5,0.94,3,0.1865,1.1265,1,4,0,0,10,0,0,0,0,200
C,W10550173,COVER PULLEY,Ausente,109784,0,0,2,0,,,0,2,18.21759091,5,0.72,3,0.1865,0.9065,1,4,0,0,10,0,0,0,0,200
